oos_period,variant,row_model,col_model,mu
200,legacy,2,2,0.0
200,legacy,2,3,-1.1497053802232813
200,legacy,2,4,-0.8479461902003899
200,legacy,2,5,0.07681376450595795
200,legacy,2,6,-0.7541014403275228
200,legacy,2,7,0.2901774181011517
200,legacy,2,8,-0.9835617691998545
200,legacy,3,1,0.838558365555059
200,legacy,3,2,1.1497053802232813
200,legacy,3,3,0.0
200,legacy,3,4,-0.15478162161942546
200,legacy,3,5,1.3393761332904823
200,legacy,3,6,0.5756742879472855
200,legacy,3,7,1.293610627673243
200,legacy,3,8,0.09417304423299545
200,legacy,4,1,-0.9260931691761979
200,legacy,4,2,0.8479461902003899
200,legacy,4,3,0.15478162161942546
200,legacy,4,4,0.0
200,legacy,4,5,0.5504924283162108
200,legacy,4,6,0.5146022194072264
200,legacy,4,7,1.0446392740971628
200,legacy,4,8,0.004902927400076265
200,legacy,5,1,0.32238209825338426
200,legacy,5,2,-0.07681376450595795
200,legacy,5,3,-1.3393761332904823
200,legacy,5,4,-0.5504924283162108
200,legacy,5,5,0.0
200,legacy,5,6,-0.41178389575273666
200,legacy,5,7,0.5256681034475083
200,legacy,5,8,-0.6237825788123852
200,legacy,6,1,1.5015360818339867
200,legacy,6,2,0.7541014403275228
200,legacy,6,3,-0.5756742879472855
200,legacy,6,4,-0.5146022194072264
200,legacy,6,5,0.41178389575273666
200,legacy,6,6,0.0
200,legacy,6,7,1.0025785000773986
200,legacy,6,8,-0.36046576805521946
200,legacy,7,1,0.6636771493788953
200,legacy,7,2,-0.2901774181011517
200,legacy,7,3,-1.293610627673243
200,legacy,7,4,-1.0446392740971628
200,legacy,7,5,-0.5256681034475083
200,legacy,7,6,-1.0025785000773986
200,legacy,7,7,0.0
200,legacy,7,8,-1.2007397133491389
200,legacy,8,1,0.08899093516833909
200,legacy,8,2,0.9835617691998545
200,legacy,8,3,-0.09417304423299545
200,legacy,8,4,-0.004902927400076265
200,legacy,8,5,0.6237825788123852
200,legacy,8,6,0.36046576805521946
200,legacy,8,7,1.2007397133491389
200,legacy,8,8,0.0
201,legacy,1,1,0.0
201,legacy,1,2,0.5904253492732998
201,legacy,1,3,-0.45008185861999794
201,legacy,1,4,0.2607683200101938
201,legacy,1,5,0.06309521249194355
201,legacy,1,6,-0.23740952280804667
201,legacy,1,7,0.5411067719749789
201,legacy,1,8,-0.8447452971226835
201,legacy,2,1,-0.5904253492732998
201,legacy,2,2,0.0
201,legacy,2,3,-0.944469757855857
201,legacy,2,4,-0.7782509233528467
201,legacy,2,5,-0.2553488846364965
201,legacy,2,6,-0.3131686566155285
201,legacy,2,7,0.3073471875306914
201,legacy,2,8,-1.38791551054442
201,legacy,3,1,0.45008185861999794
201,legacy,3,2,0.944469757855857
201,legacy,3,3,0.0
201,legacy,3,4,-0.000805372765676337
201,legacy,3,5,0.7699169766196804
201,legacy,3,6,0.6437662951300729
201,legacy,3,7,1.1939333218547183
201,legacy,3,8,-0.23025683903753877
201,legacy,4,1,-0.2607683200101938
201,legacy,4,2,0.7782509233528467
201,legacy,4,3,0.000805372765676337
201,legacy,4,4,0.0
201,legacy,4,5,0.6812879796191754
201,legacy,4,6,0.1238134040910283
201,legacy,4,7,0.9124094855673388
201,legacy,4,8,-0.1501436031090837
201,legacy,5,1,-0.06309521249194355
201,legacy,5,2,0.2553488846364965
201,legacy,5,3,-0.7699169766196804
201,legacy,5,4,-0.6812879796191754
201,legacy,5,5,0.0
201,legacy,5,6,-0.37871423029355905
201,legacy,5,7,0.3571567075545218
201,legacy,5,8,0.146911772572885
201,legacy,6,1,0.23740952280804667
201,legacy,6,2,0.3131686566155285
201,legacy,6,3,-0.6437662951300729
201,legacy,6,4,-0.1238134040910283
201,legacy,6,5,0.37871423029355905
201,legacy,6,6,0.0
201,legacy,6,7,0.8232152138469049
201,legacy,6,8,-0.6724296972358212
201,legacy,7,1,-0.5411067719749789
201,legacy,7,2,-0.3073471875306914
201,legacy,7,3,-1.1939333218547183
201,legacy,7,4,-0.9124094855673388
201,legacy,7,5,-0.3571567075545218
201,legacy,7,6,-0.8232152138469049
201,legacy,7,7,0.0
201,legacy,7,8,-1.4857723140404666
201,legacy,8,1,0.8447452971226835
201,legacy,8,2,1.38791551054442
201,legacy,8,3,0.23025683903753877
201,legacy,8,4,0.1501436031090837
201,legacy,8,5,-0.146911772572885
201,legacy,8,6,0.6724296972358212
201,legacy,8,7,1.4857723140404666
201,legacy,8,8,0.0
202,legacy,1,1,0.0
202,legacy,1,2,0.44220205153721825
202,legacy,1,3,-0.3077502515100036
202,legacy,1,4,0.9350025255112798
202,legacy,1,5,0.9157897692698518
202,legacy,1,6,-0.32820996474349495
202,legacy,1,7,0.5914289117001885
202,legacy,1,8,-0.29840063385289417
202,legacy,2,1,-0.44220205153721825
202,legacy,2,2,0.0
202,legacy,2,3,-1.1697547139200977
202,legacy,2,4,0.08143230375239813
202,legacy,2,5,0.7439115197807089
202,legacy,2,6,-1.1821244083801026
202,legacy,2,7,0.2946739427523397
202,legacy,2,8,-1.0102393276386417
202,legacy,3,1,0.3077502515100036
202,legacy,3,2,1.1697547139200977
202,legacy,3,3,0.0
202,legacy,3,4,0.1049226855417621
202,legacy,3,5,1.9815087439134842
202,legacy,3,6,0.5078879917800552
202,legacy,3,7,1.1443225252561593
202,legacy,3,8,-0.3305551102920741
202,legacy,4,1,-0.9350025255112798
202,legacy,4,2,-0.08143230375239813
202,legacy,4,3,-0.1049226855417621
202,legacy,4,4,0.0
202,legacy,4,5,-0.3447314458521792
202,legacy,4,6,0.08988604874179684
202,legacy,4,7,0.5140079952730969
202,legacy,4,8,-0.4401891167080918
202,legacy,5,1,-0.9157897692698518
202,legacy,5,2,-0.7439115197807089
202,legacy,5,3,-1.9815087439134842
202,legacy,5,4,0.3447314458521792
202,legacy,5,5,0.0
202,legacy,5,6,-0.39740042166054
202,legacy,5,7,0.7935848453826567
202,legacy,5,8,-3.185354836526851
202,legacy,6,1,0.32820996474349495
202,legacy,6,2,1.1821244083801026
202,legacy,6,3,-0.5078879917800552
202,legacy,6,4,-0.08988604874179684
202,legacy,6,5,0.39740042166054
202,legacy,6,6,0.0
202,legacy,6,7,0.8880448148261204
202,legacy,6,8,-0.6748364107438278
202,legacy,7,1,-0.5914289117001885
202,legacy,7,2,-0.2946739427523397
202,legacy,7,3,-1.1443225252561593
202,legacy,7,4,-0.5140079952730969
202,legacy,7,5,-0.7935848453826567
202,legacy,7,6,-0.8880448148261204
202,legacy,7,7,0.0
202,legacy,7,8,-1.4875353663488673
202,legacy,8,1,0.29840063385289417
202,legacy,8,2,1.0102393276386417
202,legacy,8,3,0.3305551102920741
202,legacy,8,4,0.4401891167080918
202,legacy,8,5,3.185354836526851
202,legacy,8,6,0.6748364107438278
