oos_period,row_model,col_model,cov_matrice
161,6,2,0.17155275094734174
161,6,3,0.17779533848901546
161,6,4,0.13710954639574346
161,6,5,0.4479607933719665
161,6,6,1.0193150580831865
161,6,7,0.2605709917039987
161,6,8,0.09958315002153055
161,7,1,0.30963831029451233
161,7,2,0.1820484532027747
161,7,3,0.1081866726553546
161,7,4,0.10654555307448177
161,7,5,0.20690147591885166
161,7,6,0.2605709917039987
161,7,7,1.4250121081826022
161,7,8,0.3042498092718713
161,8,1,0.2951376332546491
161,8,2,0.046401296582668984
161,8,3,0.2038134262139677
161,8,4,0.046706456851033556
161,8,5,0.24365708058796062
161,8,6,0.09958315002153055
161,8,7,0.3042498092718713
161,8,8,1.0115321021770394
162,1,1,1.2808375715624538
162,1,2,0.12635373600226574
162,1,3,0.004602948360659783
162,1,4,0.013590419927818592
162,1,5,-0.08605588412940653
162,1,6,0.13512538001526192
162,1,7,0.31136359639096906
162,1,8,0.29391270461732283
162,2,1,0.12635373600226574
162,2,2,0.873478436588197
162,2,3,0.03048484140525031
162,2,4,0.21610540880387538
162,2,5,0.11084815993986147
162,2,6,0.17488416974090773
162,2,7,0.20151535958060965
162,2,8,0.050483082169174194
162,3,1,0.004602948360659783
162,3,2,0.03048484140525031
162,3,3,1.3048026273788038
162,3,4,0.10878029170396757
162,3,5,0.10168938685131314
162,3,6,0.1557803533697174
162,3,7,0.13368785309555017
162,3,8,0.2281217366760987
162,4,1,0.013590419927818592
162,4,2,0.21610540880387538
162,4,3,0.10878029170396757
162,4,4,1.1775386683717195
162,4,5,0.07026737131621362
162,4,6,0.1094373148099319
162,4,7,0.10787522023909968
162,4,8,0.06703961950300949
162,5,1,-0.08605588412940653
162,5,2,0.11084815993986147
162,5,3,0.10168938685131314
162,5,4,0.07026737131621362
162,5,5,1.1418293321038075
162,5,6,0.41985452338758295
162,5,7,0.16583915398936966
162,5,8,0.2501989173356822
162,6,1,0.13512538001526192
162,6,2,0.17488416974090773
162,6,3,0.1557803533697174
162,6,4,0.1094373148099319
162,6,5,0.41985452338758295
162,6,6,0.9296379585283554
162,6,7,0.219466620284874
162,6,8,0.14147708569408626
162,7,1,0.31136359639096906
162,7,2,0.20151535958060965
162,7,3,0.13368785309555017
162,7,4,0.10787522023909968
162,7,5,0.16583915398936966
162,7,6,0.219466620284874
162,7,7,1.4820408177128466
162,7,8,0.3501514701385851
162,8,1,0.29391270461732283
162,8,2,0.050483082169174194
162,8,3,0.2281217366760987
162,8,4,0.06703961950300949
162,8,5,0.2501989173356822
162,8,6,0.14147708569408626
162,8,7,0.3501514701385851
162,8,8,0.994314895978409
163,1,1,1.2496299011276815
163,1,2,0.10289569303273734
163,1,3,0.04738780277447321
163,1,4,0.00990659617211033
163,1,5,-0.0718677020130572
163,1,6,0.1494524620370837
163,1,7,0.33068796312697785
163,1,8,0.27195900078184965
163,2,1,0.10289569303273734
163,2,2,0.8610234899380558
163,2,3,0.08210670532505247
163,2,4,0.1957689932488104
163,2,5,0.13078089953278121
163,2,6,0.20148070225794357
163,2,7,0.2108764277133717
163,2,8,0.0443080210862539
163,3,1,0.04738780277447321
163,3,2,0.08210670532505247
163,3,3,1.2503397382908967
163,3,4,0.0894099903619479
163,3,5,0.09026558614117491
163,3,6,0.1537748016744366
163,3,7,0.09192289618589854
163,3,8,0.28213972845486285
163,4,1,0.00990659617211033
163,4,2,0.1957689932488104
163,4,3,0.0894099903619479
163,4,4,1.2119601314109054
163,4,5,0.05888465905557475
163,4,6,0.08654349796360586
163,4,7,0.12371855922579077
163,4,8,0.041181273605984864
163,5,1,-0.0718677020130572
163,5,2,0.13078089953278121
163,5,3,0.09026558614117491
163,5,4,0.05888465905557475
163,5,5,1.1399750288462234
163,5,6,0.42327399200296223
163,5,7,0.1498204681552205
163,5,8,0.2718675271283686
163,6,1,0.1494524620370837
163,6,2,0.20148070225794357
163,6,3,0.1537748016744366
163,6,4,0.08654349796360586
163,6,5,0.42327399200296223
163,6,6,0.9445347522980044
163,6,7,0.1983058911267656
163,6,8,0.17199018309737021
163,7,1,0.33068796312697785
163,7,2,0.2108764277133717
163,7,3,0.09192289618589854
163,7,4,0.12371855922579077
163,7,5,0.1498204681552205
163,7,6,0.1983058911267656
163,7,7,1.4726341131048266
163,7,8,0.35592708864923334
163,8,1,0.27195900078184965
