oos_period,centrality_type,model,centrality_score
157,softmax,1,0.09169410856466034
157,softmax,2,0.1145204502030571
157,softmax,3,0.0620145915507397
157,softmax,4,0.0986071658413157
157,softmax,5,0.14400505537065472
157,softmax,6,0.36195160064666926
157,softmax,7,0.016613447145519152
157,softmax,8,0.11059358067738403
158,softmax,1,0.16161824087994653
158,softmax,2,0.02570753993851546
158,softmax,3,0.10713299904375469
158,softmax,4,0.12287360842867237
158,softmax,5,0.1045590558720699
158,softmax,6,0.40816974041291604
158,softmax,7,0.027369322157185582
158,softmax,8,0.042569493266939595
159,softmax,1,0.15405398423336955
159,softmax,2,0.04512950993393009
159,softmax,3,0.08562037916772244
159,softmax,4,0.11651406695192074
159,softmax,5,0.12217541443424057
159,softmax,6,0.34724458138654574
159,softmax,7,0.041820532998351784
159,softmax,8,0.08744153089391905
160,softmax,1,0.2027748834002219
160,softmax,2,0.05945886826781943
160,softmax,3,0.04668108603583605
160,softmax,4,0.14000755852847116
160,softmax,5,0.1352084851348626
160,softmax,6,0.3421429161653574
160,softmax,7,0.04487532248386783
160,softmax,8,0.028850879983563508
161,softmax,1,0.12128182944872164
161,softmax,2,0.05398745226429401
161,softmax,3,0.002502133643902526
161,softmax,4,0.18384069504413386
161,softmax,5,0.1670623031426533
161,softmax,6,0.40646534110686916
161,softmax,7,0.03408271447346427
161,softmax,8,0.030777530875961273
162,softmax,1,0.14534905809244927
162,softmax,2,0.048160535848853436
162,softmax,3,0.03518709567838789
162,softmax,4,0.15997026064249448
162,softmax,5,0.16533744861574193
162,softmax,6,0.35524007261186946
162,softmax,7,0.04157469092625396
162,softmax,8,0.04918083758394954
163,softmax,1,0.14380378719254464
163,softmax,2,0.058205078721139884
163,softmax,3,0.03264060581730707
163,softmax,4,0.22092806581731161
163,softmax,5,0.12447327835946834
163,softmax,6,0.28683147099108414
163,softmax,7,0.046582621967555166
163,softmax,8,0.08653509113358915
164,softmax,1,0.18631001231228195
164,softmax,2,0.05046418803479388
164,softmax,3,0.036386182969633876
164,softmax,4,0.18310663929052984
164,softmax,5,0.15222950958104817
164,softmax,6,0.2307313190542161
164,softmax,7,0.12965732047392098
164,softmax,8,0.031114828283575143
165,softmax,1,0.12819862590383466
165,softmax,2,0.05081391952779964
165,softmax,3,0.061675048617354795
165,softmax,4,0.15824815532266553
165,softmax,5,0.044036489206572715
165,softmax,6,0.244171474889854
165,softmax,7,0.020449417740733115
165,softmax,8,0.29240686879118555
166,softmax,1,0.11907400476979492
166,softmax,2,0.0498596174245815
166,softmax,3,0.05230982251824827
166,softmax,4,0.074643960751026
166,softmax,5,0.036558552512232216
166,softmax,6,0.6569877627037629
166,softmax,7,0.0070397578980539825
166,softmax,8,0.0035265214223001522
167,softmax,1,0.04250772623889217
167,softmax,2,0.17613664572750512
167,softmax,3,0.06698534281754065
167,softmax,4,0.13707962116327974
167,softmax,5,0.14744627544240713
167,softmax,6,0.3481606482935307
167,softmax,7,0.04085500855936891
167,softmax,8,0.04082873175747561
168,softmax,1,0.0955462139044113
168,softmax,2,0.33518233225850996
168,softmax,3,0.06836746106129653
168,softmax,4,0.15561040331543605
168,softmax,5,0.20514630282938148
168,softmax,6,0.008583163155682147
168,softmax,7,0.06388259138629099
168,softmax,8,0.06768153208899164
169,softmax,1,0.05374492183187641
169,softmax,2,0.15872858609699297
169,softmax,3,0.14169684371855418
169,softmax,4,0.29656110218643555
169,softmax,5,0.08479826899930232
169,softmax,6,0.02833485369128332
169,softmax,7,0.18410483448758178
169,softmax,8,0.052030588987973476
170,softmax,1,0.09219369597516786
170,softmax,2,0.184661856556955
170,softmax,3,0.10740655652129981
170,softmax,4,0.15315331357376805
170,softmax,5,0.036099402907596834
170,softmax,6,0.18317062637682616
170,softmax,7,0.13445215868884586
170,softmax,8,0.10886238939954057
171,softmax,1,0.06783773455861987
171,softmax,2,0.19086072432448575
171,softmax,3,0.06266982228818258
171,softmax,4,0.08386652418255977
171,softmax,5,0.028879061404254874
171,softmax,6,0.2442693487529612
171,softmax,7,0.19460212280802217
171,softmax,8,0.12701466168091385
172,softmax,1,0.05123815483492847
172,softmax,2,0.2068193544808039
172,softmax,3,0.1732526459834845
172,softmax,4,0.19717510988811102
172,softmax,5,0.0423145983109893
172,softmax,6,0.0489099416812788
172,softmax,7,0.1505923960517231
172,softmax,8,0.12969779876868087
173,softmax,1,0.3205665502729349
173,softmax,2,0.19183276020576495
173,softmax,3,0.07508601402490431
173,softmax,4,0.12820059756857885
173,softmax,5,0.045757254519898864
173,softmax,6,0.07486098690450933
173,softmax,7,0.06887988074334202
173,softmax,8,0.0948159557600667
174,softmax,1,0.03911690482019254
174,softmax,2,0.16561366949660972
174,softmax,3,0.16922075189136
174,softmax,4,0.19895733398294793
174,softmax,5,0.04723425902636713
174,softmax,6,0.05206807910851538
174,softmax,7,0.16248749035294857
174,softmax,8,0.16530151132105866
175,softmax,1,0.09656741053538052
175,softmax,2,0.1882821779476055
175,softmax,3,0.1753191084820569
175,softmax,4,0.1829292113013638
175,softmax,5,0.051243389140543605
175,softmax,6,0.030707707524666183
175,softmax,7,0.08504130254084635
175,softmax,8,0.18990969252753717
176,softmax,1,0.06537899861237988
176,softmax,2,0.19481655623572622
176,softmax,3,0.19594711158064385
176,softmax,4,0.16083552840848567
176,softmax,5,0.05499889035768256
176,softmax,6,0.03277365877935896
176,softmax,7,0.09672056667093332
176,softmax,8,0.1985286893547896
177,softmax,1,0.016959711493591927
177,softmax,2,0.23941102276760956
177,softmax,3,0.19116215873242928
177,softmax,4,0.10151605088323853
177,softmax,5,0.060835972135175116
177,softmax,6,0.03681934326635865
177,softmax,7,0.1326912228362646
177,softmax,8,0.2206045178853323
178,softmax,1,0.024328923132478957
178,softmax,2,0.2399915774973266
178,softmax,3,0.14459937311028806
178,softmax,4,0.10498053513254735
178,softmax,5,0.0773691684310848
178,softmax,6,0.04035845724891195
178,softmax,7,0.12826510698347812
178,softmax,8,0.24010685846388405
179,softmax,1,0.032477402774806215
