oos_period,model,centrality_score
202,5,7.008696871242636e-05
202,6,1.8302418571288285e-07
202,7,0.00010973901910591634
202,8,0.9995674441450846
203,1,2.0910597840913332e-07
203,2,1.3711877530249288e-05
203,3,4.589720997526844e-05
203,4,2.5244290613942987e-06
203,5,3.1311036427261426e-06
203,6,1.0659438259289873e-06
203,7,3.5763149250071133e-05
203,8,0.9998976971797359
204,1,2.427315577988302e-07
204,2,1.744304485198632e-05
204,3,4.237087155086032e-05
204,4,3.349861999031853e-06
204,5,2.152786667282486e-06
204,6,1.1701769165585146e-06
204,7,4.072618458980525e-05
204,8,0.9998925443408666
205,1,2.2397223642029028e-07
205,2,1.7285227341970405e-05
205,3,4.308021041455371e-05
205,4,3.6147452551512935e-06
205,5,3.572472955679815e-06
205,6,8.505902229922502e-07
205,7,4.5233885574430667e-05
205,8,0.9998861388949988
206,1,2.5512244316572485e-07
206,2,2.7570367744253132e-05
206,3,6.74173756819995e-05
206,4,5.745406856037464e-06
206,5,3.3083356268954146e-06
206,6,1.6833973702762196e-06
206,7,8.468663036742416e-05
206,8,0.9998093333629099
207,1,1.855152059331347e-07
207,2,1.3648781963846609e-05
207,3,4.722230050243416e-05
207,4,6.70881647848428e-06
207,5,4.553573151485192e-06
207,6,7.954558565462781e-07
207,7,6.710398275823622e-05
207,8,0.9998597815730829
208,1,2.2472424121794538e-07
208,2,1.2908566389158822e-05
208,3,3.275584562800233e-05
208,4,2.244347019162065e-06
208,5,2.2918923467525617e-06
208,6,6.026062007208551e-07
208,7,4.6462009557539855e-05
208,8,0.9999025100076173
209,1,2.3218818508009816e-07
209,2,1.3606017972389859e-05
209,3,3.141196721175415e-05
209,4,2.442966689371626e-06
209,5,1.7523235404771758e-06
209,6,9.770277567246808e-07
209,7,4.868355323268713e-05
209,8,0.9999008939544115
210,1,2.320737375164975e-07
210,2,1.7847460565292515e-05
210,3,4.161843298002251e-05
210,4,3.3528191056399512e-06
210,5,2.8723526326357574e-06
210,6,1.1750083455591932e-06
210,7,7.476259217018326e-05
210,8,0.999858139259463
211,1,1.9107560535767086e-07
211,2,6.36669148053481e-06
211,3,1.948997238939087e-05
211,4,3.1013635487107153e-06
211,5,1.5173418328266402e-06
211,6,6.367084389517135e-07
211,7,3.808980396422213e-05
211,8,0.99993060704174
212,1,2.526618562582495e-07
212,2,0.012029392625412041
212,3,0.022196678845765712
212,4,0.0026383603040630414
212,5,0.033040242335236523
212,6,1.2023967711556264e-06
212,7,0.20503250977244733
212,8,0.7250613610574479
213,1,8.497928645038813e-07
213,2,0.0012408674007005176
213,3,0.009015740205486494
213,4,0.0003084989239100742
213,5,0.00012873599208896932
213,6,1.2361574623481036e-05
213,7,0.14665746749638614
213,8,0.8426354786129397
214,1,8.83585224461146e-07
214,2,0.003212939234381699
214,3,0.007471817456982592
214,4,8.690353304002038e-05
214,5,0.00037876811137384887
214,6,1.1474781416045942e-05
214,7,0.15196910511920864
214,8,0.8368681081773724
215,1,7.097284870692532e-07
215,2,0.0010411057697768075
215,3,0.016203266198786884
215,4,0.00018456991687508035
215,5,4.6909149620905124e-05
215,6,7.234723284942511e-06
215,7,0.5056900363668398
215,8,0.47682616814532836
216,1,1.15996697220409e-06
216,2,0.02560128914730262
216,3,0.00200351817739299
216,4,0.0001751187078304425
216,5,0.00034894233702775676
216,6,1.6974152207835335e-05
216,7,0.4576593519538729
216,8,0.5141936455563932
217,1,5.464847127936473e-07
217,2,0.001068937620391262
217,3,0.013341542999951276
217,4,0.014372903212052715
217,5,2.2763418946477697e-05
217,6,4.9415855150075635e-06
217,7,0.6331005001076953
217,8,0.33808786456973505
218,1,1.2055141003548831e-06
218,2,0.027931790837870646
218,3,0.001991865428049796
218,4,0.0011857738921639603
218,5,0.0003350203093005936
218,6,1.8439224300574344e-05
218,7,0.5631507192839448
218,8,0.4053851855092693
219,1,1.2521521582525341e-06
219,2,0.0002918392684152276
219,3,0.007146865510332199
219,4,0.0024744307014595407
