method,event_index,event_time,horizon,relative_gap
full_gcsr_v2_eigenvector,6,275,13,0.5758434671202138
full_gcsr_v2_eigenvector,6,275,14,0.5826715532927719
full_gcsr_v2_eigenvector,6,275,15,0.6217047568156318
full_gcsr_v2_eigenvector,6,275,16,0.661153101968965
full_gcsr_v2_eigenvector,6,275,17,0.7237609188580199
full_gcsr_v2_eigenvector,6,275,18,0.8719308899899375
full_gcsr_v2_eigenvector,6,275,19,0.9723172515990268
full_gcsr_v2_eigenvector,6,275,20,0.3593428552209403
full_gcsr_v2_eigenvector,6,275,21,1.0243912748960537
full_gcsr_v2_eigenvector,6,275,22,0.09175857753019448
full_gcsr_v2_eigenvector,6,275,23,0.48147543190365494
full_gcsr_v2_eigenvector,6,275,24,0.5412963644452695
full_gcsr_v2_eigenvector,7,280,0,1.0
full_gcsr_v2_eigenvector,7,280,1,0.924753483384417
full_gcsr_v2_eigenvector,7,280,2,0.8704100154326649
full_gcsr_v2_eigenvector,7,280,3,1.5220498972387682
full_gcsr_v2_eigenvector,7,280,4,1.6273321971590031
full_gcsr_v2_eigenvector,7,280,5,1.608143766430805
full_gcsr_v2_eigenvector,7,280,6,1.6170388611724782
full_gcsr_v2_eigenvector,7,280,7,1.7052536237643727
full_gcsr_v2_eigenvector,7,280,8,1.7322417502287604
full_gcsr_v2_eigenvector,7,280,9,1.7527818737477714
full_gcsr_v2_eigenvector,7,280,10,1.8702008402693777
full_gcsr_v2_eigenvector,7,280,11,1.9888686282253236
full_gcsr_v2_eigenvector,7,280,12,2.1772043140467927
full_gcsr_v2_eigenvector,7,280,13,2.622926502072095
full_gcsr_v2_eigenvector,7,280,14,2.924906912829319
full_gcsr_v2_eigenvector,7,280,15,1.0809685826133968
full_gcsr_v2_eigenvector,7,280,16,3.08155503407763
full_gcsr_v2_eigenvector,7,280,17,0.27602646902343564
full_gcsr_v2_eigenvector,7,280,18,1.448365558480534
full_gcsr_v2_eigenvector,7,280,19,1.6283177899514005
full_gcsr_v2_eigenvector,7,280,20,
full_gcsr_v2_eigenvector,7,280,21,
full_gcsr_v2_eigenvector,7,280,22,
full_gcsr_v2_eigenvector,7,280,23,
full_gcsr_v2_eigenvector,7,280,24,
full_gcsr_pagerank,0,160,0,1.0
full_gcsr_pagerank,0,160,1,0.3959181643929535
full_gcsr_pagerank,0,160,2,0.453216690407576
full_gcsr_pagerank,0,160,3,0.8944128798428773
full_gcsr_pagerank,0,160,4,0.5757457886810389
full_gcsr_pagerank,0,160,5,0.7005198597447391
full_gcsr_pagerank,0,160,6,0.6566890600954648
full_gcsr_pagerank,0,160,7,0.5138245446889089
full_gcsr_pagerank,0,160,8,0.8681255972182143
full_gcsr_pagerank,0,160,9,2.195092830753305
full_gcsr_pagerank,0,160,10,1.5757097671148164
full_gcsr_pagerank,0,160,11,2.2436131443842147
full_gcsr_pagerank,0,160,12,1.8913739719618463
full_gcsr_pagerank,0,160,13,1.8808322575608456
full_gcsr_pagerank,0,160,14,1.72367186455666
full_gcsr_pagerank,0,160,15,2.594328347224378
full_gcsr_pagerank,0,160,16,1.5447272874374356
full_gcsr_pagerank,0,160,17,1.5820453763862827
full_gcsr_pagerank,0,160,18,1.626728088647846
full_gcsr_pagerank,0,160,19,1.1838913694413324
full_gcsr_pagerank,0,160,20,1.8878220055965458
full_gcsr_pagerank,0,160,21,2.5097578735580837
full_gcsr_pagerank,0,160,22,1.5299049295955132
full_gcsr_pagerank,0,160,23,1.2108285448646479
full_gcsr_pagerank,0,160,24,2.7341265262401353
full_gcsr_pagerank,1,184,0,1.0
full_gcsr_pagerank,1,184,1,0.6440708548239272
full_gcsr_pagerank,1,184,2,0.5302256293168758
full_gcsr_pagerank,1,184,3,0.4047597442108467
full_gcsr_pagerank,1,184,4,0.3687791965943013
full_gcsr_pagerank,1,184,5,0.5323906653759317
full_gcsr_pagerank,1,184,6,0.532030688532798
full_gcsr_pagerank,1,184,7,0.9992013961461851
full_gcsr_pagerank,1,184,8,0.7306372233588138
full_gcsr_pagerank,1,184,9,0.9044058921629868
full_gcsr_pagerank,1,184,10,1.7533218068841419
full_gcsr_pagerank,1,184,11,3.951920823991863
full_gcsr_pagerank,1,184,12,7.260198951839907
full_gcsr_pagerank,1,184,13,6.2275308557755515
full_gcsr_pagerank,1,184,14,7.106786688428591
full_gcsr_pagerank,1,184,15,8.658553867099961
full_gcsr_pagerank,1,184,16,5.58017055218833
full_gcsr_pagerank,1,184,17,6.245060961039372
full_gcsr_pagerank,1,184,18,1.4128705122719856
full_gcsr_pagerank,1,184,19,5.401646333652513
