t,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8
81,0.12943597371206889,0.12367800940286233,0.11111255653799654,0.11633975229260453,0.12471814507048347,0.13049327737874372,0.13322892118528631,0.1309933644189542
82,0.12850618133325337,0.12392696470158888,0.11398772479130509,0.11811470561349395,0.12486042247586375,0.1294874805508858,0.13139813438739484,0.12971838614521408
83,0.1278073954318394,0.1241794652515417,0.11623576145803496,0.11951564273099363,0.12488465198871532,0.12865647117515022,0.12998439054142788,0.12873622142129684
84,0.12736904936338436,0.12432993696665329,0.11759386710899894,0.12040036967842092,0.12492247157322034,0.1281715338690662,0.1291069241668162,0.12810584727243968
85,0.12670812058062003,0.12453098480879086,0.11963826501952934,0.1216981992394966,0.1249309070296061,0.12737748325810014,0.127901951117049,0.12721408894580785
86,0.12582094110935818,0.12478825673843182,0.12246397256725629,0.12344547080874621,0.12494696839391574,0.12615837003523714,0.12634707358783762,0.12602894675821685
87,0.12502503435073048,0.12499413721521221,0.12492329730411592,0.12495290444361316,0.12499790500438279,0.12503596296516478,0.1250401985267359,0.1250305601890447
88,0.12396553533570803,0.12522484169337256,0.1281353328946425,0.12691906580443843,0.12509397345793605,0.12350997252288834,0.12338211012996274,0.12376916816005147
89,0.12285169853915842,0.12546140899150396,0.13140407398624288,0.12890729694964267,0.1251926246793797,0.12193093836905883,0.121729307362491,0.12252265112152246
90,0.12167416262688202,0.12566735711731297,0.13468452649801557,0.13088557790017083,0.125313210498917,0.12032890075283495,0.12012436319896214,0.12132190140590449
91,0.12032453248287815,0.12594090161552082,0.13841429112154718,0.133072158204821,0.1255254637245471,0.11853340758100986,0.11828193347801388,0.11990731179066201
92,0.11916674029234894,0.12621432653714196,0.14157249745810496,0.1348434105797456,0.1257200837001467,0.11699538377179146,0.11677291882961524,0.11871463883010516
93,0.11833430778437003,0.1264954976965731,0.14355624610848494,0.13587556269830509,0.12578393126635168,0.1160692021233346,0.11590041956969935,0.11798483275188121
94,0.11773034382412968,0.126783742275524,0.1450937391437537,0.13663799166528257,0.12583598996842335,0.11525247731030504,0.11527242996663516,0.11739328584494639
95,0.11745477339998969,0.1270297459893545,0.14543961520176943,0.1367125994622532,0.12580865773238495,0.11509080165820203,0.115214947800398,0.11724885875464822
96,0.11713149303121051,0.12728109125323372,0.14572438534302362,0.1366682284891229,0.1257723794978504,0.11494763798029692,0.11529366423813955,0.11718112016612227
97,0.1166474044657065,0.12762602687645638,0.14654645515544706,0.13692742431771096,0.12570979718735473,0.11457422451953744,0.11510554700137723,0.11686312047540963
98,0.11628215994905639,0.12794524622538156,0.14697093337924144,0.137019711311992,0.12568949291994672,0.11437950430346612,0.11508553780346972,0.116627414106446
99,0.11588473971822394,0.1281783509564266,0.14737254636804903,0.13711699519189197,0.12575871373179004,0.11428510683563624,0.11507540694773566,0.11632814024924656
100,0.1153875215579539,0.12846914215887797,0.1480043001514835,0.13731404054924495,0.1258652680634426,0.1140553311180797,0.11492808650760192,0.11597630989231542
101,0.11466748406882074,0.12889088150569245,0.14921527964327388,0.137739175677925,0.12598821100077826,0.1137112130711424,0.11449657602976984,0.11529117900159731
102,0.11377637151590829,0.12934983556072627,0.15052287314823304,0.13820347853255593,0.12622388416568733,0.11314634083505712,0.1140775410348678,0.114699675205964
103,0.11271484247403891,0.12982160733569717,0.1519388374287123,0.13867693154147565,0.12645400261547007,0.11262779795988805,0.11374793005726025,0.11401805058645749
104,0.11240457397201051,0.12994751851408928,0.15193182044583295,0.1383120996666253,0.12653182905203958,0.11273648475058712,0.1142071643277753,0.1139285092700399
105,0.11210975966544437,0.13011279425453204,0.15176994207145367,0.1378677479113388,0.12666282666416856,0.11288869138568508,0.11469884798976508,0.11388939005661236
106,0.11159994774869814,0.13044591018771848,0.15208450529132594,0.13781359035653917,0.12677468199953199,0.11267848858164088,0.11496132645350958,0.1136415493800356
107,0.11079251530207046,0.1309869074942507,0.15287419757916296,0.13802103897823906,0.12690446711974904,0.11224319118379786,0.11506792951652388,0.11310975282520601
108,0.10966450174241377,0.1317556207546728,0.15433265810636915,0.13846112967179283,0.12712773756907939,0.11145880459436502,0.11493364618634908,0.11226590137395799
109,0.10840071567319305,0.1327192046086218,0.15597474426919083,0.13891450534540523,0.1272906263503034,0.11057954648856777,0.11485992615549727,0.11126073110822045
