Study_Type,Study,Comparison_Basis,Simulation_Reps,Family,Centrality,Variant,Method,OOS_Periods,Mean_Loss,Median_Loss,Std_Loss,Total_Loss,Rel_MSFE,Median_Rel_MSFE,Std_Rel_MSFE
simulation,2B,mc_average_over_20_reps,20,full_gcsr,softmax,v2,full_gcsr_v2_softmax,150,5.637354543659719,4.774382050396693,3.5182545846632927,845.6031815489579,1.9340724973617474,1.4866446180048152,1.6733980503654529
simulation,2B,mc_average_over_20_reps,20,graph_only,eigenvector,v1,graph_only_eigenvector,150,2.2536699554919393,2.1400102835756325,0.7821497802809539,338.0504933237909,1.1437464834844613,0.5456480638485721,1.2179195242385457
simulation,2B,mc_average_over_20_reps,20,graph_only,eigenvector,v2,graph_only_v2_eigenvector,150,2.1843794759769715,2.0284495615465277,0.8304711413122828,327.6569213965457,1.1448079022904456,0.5410165880845006,1.2828144349741524
simulation,2B,mc_average_over_20_reps,20,graph_only,pagerank,v1,graph_only_pagerank,150,1.9729660195533316,1.5064381815773595,1.5974235406524213,295.94490293299975,0.6016517458605468,0.4378194555277314,0.360774930142284
simulation,2B,mc_average_over_20_reps,20,graph_only,pagerank,v2,graph_only_v2_pagerank,150,1.9797527171796911,1.492230338716818,1.6104248683652262,296.9629075769537,0.5942936863446787,0.4384846359467792,0.34523773631569976
simulation,2B,mc_average_over_20_reps,20,graph_only,softmax,v1,graph_only_softmax,150,2.2537078374020534,1.8487647775696068,0.9914365670734636,338.056175610308,1.2071517801659881,0.530397576870186,1.3950223671325748
simulation,2B,mc_average_over_20_reps,20,graph_only,softmax,v2,graph_only_v2_softmax,150,2.2247163913399097,1.887033444645765,1.0242703014780266,333.7074587009865,1.195522056142057,0.4912669995750871,1.3924182766837658
simulation,4A,mc_average_over_20_reps,20,full_gcsr,eigenvector,v1,full_gcsr_eigenvector,150,0.7249354397866035,0.6776134591214025,0.2659108677723956,108.74031596799053,1.079121754825458,1.0713488814712293,0.03499254035574293
simulation,4A,mc_average_over_20_reps,20,full_gcsr,eigenvector,v2,full_gcsr_v2_eigenvector,150,0.7253744977429015,0.6805218134030822,0.2644002156614925,108.80617466143522,1.0806126185352485,1.0785387926904177,0.03483681423728764
simulation,4A,mc_average_over_20_reps,20,full_gcsr,pagerank,v1,full_gcsr_pagerank,150,0.7226251222676982,0.6748821010996398,0.26625970393744386,108.39376834015472,1.0750429245197366,1.0678968785815042,0.034393824408991996
simulation,4A,mc_average_over_20_reps,20,full_gcsr,pagerank,v2,full_gcsr_v2_pagerank,150,0.7226756279066244,0.676461148793689,0.26626809027292425,108.40134418599366,1.075150515139428,1.0704568458625832,0.03448815841312021
simulation,4A,mc_average_over_20_reps,20,full_gcsr,softmax,v1,full_gcsr_softmax,150,0.7222934293994514,0.6757948431999975,0.266628559178582,108.3440144099177,1.0742924571777306,1.066728383915485,0.03495892349980779
simulation,4A,mc_average_over_20_reps,20,full_gcsr,softmax,v2,full_gcsr_v2_softmax,150,0.7226330642948461,0.6763637637665689,0.26702810014958395,108.39495964422692,1.0746719300411345,1.0691245517872139,0.03469213203484547
simulation,4A,mc_average_over_20_reps,20,graph_only,eigenvector,v1,graph_only_eigenvector,150,1.1229149573790738,1.1038737917469592,0.241980303982184,168.43724360686107,1.7761262386997045,1.729921858295579,0.3366995957444612
simulation,4A,mc_average_over_20_reps,20,graph_only,eigenvector,v2,graph_only_v2_eigenvector,150,1.2868988536313777,1.2268363657697696,0.2775549684664472,193.03482804470664,2.04228641899985,1.9470825405569874,0.41253582069378886
simulation,4A,mc_average_over_20_reps,20,graph_only,pagerank,v1,graph_only_pagerank,150,0.7602889582362257,0.7090002276342556,0.2508382095004575,114.04334373543385,1.147241708720866,1.154044345048392,0.06702891717566287
simulation,4A,mc_average_over_20_reps,20,graph_only,pagerank,v2,graph_only_v2_pagerank,150,0.7624723021752045,0.7302391451263748,0.252541719476284,114.37084532628067,1.1505618699966822,1.1421256314937547,0.07070903281290634
simulation,4A,mc_average_over_20_reps,20,graph_only,softmax,v1,graph_only_softmax,150,0.751298376407117,0.712255182144061,0.268830555038633,112.69475646106756,1.1218579748586452,1.135274282635243,0.0426358296669896
simulation,4A,mc_average_over_20_reps,20,graph_only,softmax,v2,graph_only_v2_softmax,150,0.729060431168096,0.6924518441463345,0.26902381943238995,109.35906467521441,1.0839862897017691,1.0831402570135915,0.041053880751140165
