oos_period,variant,row_model,col_model,adjacency
20,v2,2,1,0.0
20,v2,2,2,0.0
20,v2,2,3,1.6987140175814157
20,v2,2,4,1.9510639720790786
20,v2,3,1,0.0
20,v2,3,2,0.0
20,v2,3,3,0.0
20,v2,3,4,2.6974319708491765
20,v2,4,1,0.0
20,v2,4,2,0.0
20,v2,4,3,0.0
20,v2,4,4,0.0
21,v2,1,1,0.0
21,v2,1,2,2.098450325061492
21,v2,1,3,1.9353601548248638
21,v2,1,4,2.6715515592249597
21,v2,2,1,0.0
21,v2,2,2,0.0
21,v2,2,3,0.24222610660433178
21,v2,2,4,0.9406967115098245
21,v2,3,1,0.0
21,v2,3,2,0.0
21,v2,3,3,0.0
21,v2,3,4,4.151584832921298
21,v2,4,1,0.0
21,v2,4,2,0.0
21,v2,4,3,0.0
21,v2,4,4,0.0
22,v2,1,1,0.0
22,v2,1,2,1.7985647122046586
22,v2,1,3,2.185418712771308
22,v2,1,4,1.2215112171667375
22,v2,2,1,0.0
22,v2,2,2,0.0
22,v2,2,3,0.3816677616203918
22,v2,2,4,0.8599772859042193
22,v2,3,1,0.0
22,v2,3,2,0.0
22,v2,3,3,0.0
22,v2,3,4,1.0590221642763666
22,v2,4,1,0.0
22,v2,4,2,0.0
22,v2,4,3,0.0
22,v2,4,4,0.0
23,v2,1,1,0.0
23,v2,1,2,0.448028842867193
23,v2,1,3,0.8096811093127891
23,v2,1,4,0.0
23,v2,2,1,0.0
23,v2,2,2,0.0
23,v2,2,3,0.39238812958601393
23,v2,2,4,0.8564993186649167
23,v2,3,1,0.0
23,v2,3,2,0.0
23,v2,3,3,0.0
23,v2,3,4,1.022633796860131
23,v2,4,1,1.1477891992249551
23,v2,4,2,0.0
23,v2,4,3,0.0
23,v2,4,4,0.0
24,v2,1,1,0.0
24,v2,1,2,0.44939862832402105
24,v2,1,3,1.2735990039992517
24,v2,1,4,0.0
24,v2,2,1,0.0
24,v2,2,2,0.0
24,v2,2,3,0.0
24,v2,2,4,0.3392491586755241
24,v2,3,1,0.0
24,v2,3,2,0.018136387865024424
24,v2,3,3,0.0
24,v2,3,4,0.8759069671194175
24,v2,4,1,0.45971379191556405
24,v2,4,2,0.0
24,v2,4,3,0.0
24,v2,4,4,0.0
25,v2,1,1,0.0
25,v2,1,2,0.2957353565751477
25,v2,1,3,0.5934527383574287
25,v2,1,4,0.0
25,v2,2,1,0.0
25,v2,2,2,0.0
25,v2,2,3,0.0
25,v2,2,4,0.1159237498431516
25,v2,3,1,0.0
25,v2,3,2,0.028015782520821247
25,v2,3,3,0.0
25,v2,3,4,0.8774494471562666
25,v2,4,1,1.2855190067502638
25,v2,4,2,0.0
25,v2,4,3,0.0
25,v2,4,4,0.0
26,v2,1,1,0.0
26,v2,1,2,0.5770954238131839
26,v2,1,3,1.1592690596847965
26,v2,1,4,0.0
26,v2,2,1,0.0
26,v2,2,2,0.0
26,v2,2,3,6.240943687427111
26,v2,2,4,0.06496473502032857
26,v2,3,1,0.0
26,v2,3,2,0.0
26,v2,3,3,0.0
26,v2,3,4,1.0944600830057496
26,v2,4,1,21.999545569762095
26,v2,4,2,0.0
26,v2,4,3,0.0
26,v2,4,4,0.0
27,v2,1,1,0.0
27,v2,1,2,10.584816385107493
27,v2,1,3,1.2511164074069896
27,v2,1,4,0.0
27,v2,2,1,0.0
27,v2,2,2,0.0
27,v2,2,3,0.0
27,v2,2,4,0.0
27,v2,3,1,0.0
27,v2,3,2,4.057461370887641
27,v2,3,3,0.0
27,v2,3,4,1.2166619684377282
27,v2,4,1,7.073600572650953
27,v2,4,2,5.687449114674568
27,v2,4,3,0.0
27,v2,4,4,0.0
28,v2,1,1,0.0
28,v2,1,2,0.26482154957647497
28,v2,1,3,1.2983711468385368
28,v2,1,4,0.0
28,v2,2,1,0.0
28,v2,2,2,0.0
28,v2,2,3,0.0
28,v2,2,4,0.0
28,v2,3,1,0.0
28,v2,3,2,1.0908394595465516
28,v2,3,3,0.0
28,v2,3,4,2.1845535202887034
28,v2,4,1,2.2215687403639626
28,v2,4,2,10.573564371683021
28,v2,4,3,0.0
28,v2,4,4,0.0
29,v2,1,1,0.0
29,v2,1,2,0.15453670069369388
29,v2,1,3,3.3326914728651755
29,v2,1,4,0.0
29,v2,2,1,0.0
29,v2,2,2,0.0
29,v2,2,3,0.0
29,v2,2,4,0.0
29,v2,3,1,0.0
29,v2,3,2,14.378860474300467
29,v2,3,3,0.0
29,v2,3,4,0.46199415229726226
29,v2,4,1,3.629807557224506
29,v2,4,2,14.363945856058756
29,v2,4,3,0.0
29,v2,4,4,0.0
30,v2,1,1,0.0
30,v2,1,2,0.059420772224239
30,v2,1,3,2.2723250615995916
30,v2,1,4,0.0
30,v2,2,1,0.0
30,v2,2,2,0.0
30,v2,2,3,0.0
30,v2,2,4,0.0
30,v2,3,1,0.0
30,v2,3,2,0.13335372912892632
30,v2,3,3,0.0
30,v2,3,4,7.1502575000653525
30,v2,4,1,6.41219751987233
30,v2,4,2,15.758661878958975
30,v2,4,3,0.0
30,v2,4,4,0.0
31,v2,1,1,0.0
31,v2,1,2,0.0
31,v2,1,3,0.0
31,v2,1,4,0.0
31,v2,2,1,3.5570506421622925
31,v2,2,2,0.0
31,v2,2,3,0.0
31,v2,2,4,0.0
31,v2,3,1,3.4763180243379317
31,v2,3,2,6.022809124425514
31,v2,3,3,0.0
31,v2,3,4,0.0
31,v2,4,1,7.109383830902616
31,v2,4,2,15.807761306335879
31,v2,4,3,9.890100174156633
31,v2,4,4,0.0
32,v2,1,1,0.0
32,v2,1,2,0.0
32,v2,1,3,9.327233598927393
32,v2,1,4,0.0
32,v2,2,1,3.1266039703851254
32,v2,2,2,0.0
32,v2,2,3,0.0
32,v2,2,4,0.0
32,v2,3,1,0.0
32,v2,3,2,5.286802676392561
32,v2,3,3,0.0
32,v2,3,4,0.0
32,v2,4,1,5.634721415754848
32,v2,4,2,11.063660161617499
32,v2,4,3,12.215230332969004
32,v2,4,4,0.0
33,v2,1,1,0.0
33,v2,1,2,0.0
33,v2,1,3,23.203612944499348
33,v2,1,4,0.0
33,v2,2,1,0.466206422281357
33,v2,2,2,0.0
33,v2,2,3,0.0
33,v2,2,4,0.0
33,v2,3,1,0.0
33,v2,3,2,0.9057423530814263
33,v2,3,3,0.0
33,v2,3,4,0.0
33,v2,4,1,9.224046292745472
33,v2,4,2,10.110206579950264
33,v2,4,3,18.72230985500102
33,v2,4,4,0.0
34,v2,1,1,0.0
34,v2,1,2,0.0
34,v2,1,3,24.19586526424214
34,v2,1,4,0.0
34,v2,2,1,0.3624488289122086
34,v2,2,2,0.0
34,v2,2,3,0.16356966299407324
34,v2,2,4,0.0
34,v2,3,1,0.0
34,v2,3,2,0.0
34,v2,3,3,0.0
34,v2,3,4,0.0
34,v2,4,1,20.974843585560812
34,v2,4,2,9.833031143565739
34,v2,4,3,13.166751941555669
34,v2,4,4,0.0
35,v2,1,1,0.0
35,v2,1,2,0.0
35,v2,1,3,0.0
35,v2,1,4,50.61978483693
35,v2,2,1,0.5431213384179582
35,v2,2,2,0.0
35,v2,2,3,0.4092508462190571
35,v2,2,4,5.1291718272153926
35,v2,3,1,3.2945878274157985
35,v2,3,2,0.0
35,v2,3,3,0.0
35,v2,3,4,0.0
35,v2,4,1,0.0
35,v2,4,2,0.0
35,v2,4,3,0.5020383576507687
35,v2,4,4,0.0
36,v2,1,1,0.0
36,v2,1,2,0.0
36,v2,1,3,0.0
36,v2,1,4,1.2597780525941529
36,v2,2,1,0.8029169899625911
36,v2,2,2,0.0
36,v2,2,3,18.644473749753026
36,v2,2,4,14.178659121689194
36,v2,3,1,11.076692819858591
36,v2,3,2,0.0
36,v2,3,3,0.0
36,v2,3,4,0.1499856900040336
36,v2,4,1,0.0
36,v2,4,2,0.0
36,v2,4,3,0.0
36,v2,4,4,0.0
37,v2,1,1,0.0
37,v2,1,2,0.0
37,v2,1,3,0.15724068770224417
37,v2,1,4,0.0
37,v2,2,1,0.030407587012041746
37,v2,2,2,0.0
37,v2,2,3,0.2726995530047654
37,v2,2,4,8.014625560808184
37,v2,3,1,0.0
37,v2,3,2,0.0
37,v2,3,3,0.0
37,v2,3,4,1.945259729843921
37,v2,4,1,1.3098025654524323
37,v2,4,2,0.0
37,v2,4,3,0.0
37,v2,4,4,0.0
38,v2,1,1,0.0
38,v2,1,2,0.0
38,v2,1,3,0.3658384575484785
38,v2,1,4,0.7131982253520083
38,v2,2,1,0.05050122505944279
38,v2,2,2,0.0
38,v2,2,3,0.0
38,v2,2,4,0.6453130209847189
38,v2,3,1,0.0
38,v2,3,2,35.81268397560294
38,v2,3,3,0.0
38,v2,3,4,0.13812911398150257
38,v2,4,1,0.0
38,v2,4,2,0.0
38,v2,4,3,0.0
38,v2,4,4,0.0
39,v2,1,1,0.0
39,v2,1,2,0.0
39,v2,1,3,0.0
39,v2,1,4,0.0
39,v2,2,1,0.28943419200028797
39,v2,2,2,0.0
39,v2,2,3,0.09058659005974717
