oos_period,variant,row_model,col_model,sigma
41,legacy,1,2,0.586964709799137
41,legacy,1,3,0.3518249929576197
41,legacy,1,4,1.346148171251014
41,legacy,2,1,0.586964709799137
41,legacy,2,2,0.0
41,legacy,2,3,0.3239455709522308
41,legacy,2,4,1e-06
41,legacy,3,1,0.3518249929576197
41,legacy,3,2,0.3239455709522308
41,legacy,3,3,0.0
41,legacy,3,4,0.601915569430194
41,legacy,4,1,1.346148171251014
41,legacy,4,2,1e-06
41,legacy,4,3,0.601915569430194
41,legacy,4,4,0.0
42,legacy,1,1,0.0
42,legacy,1,2,1.2972161333986674
42,legacy,1,3,1e-06
42,legacy,1,4,1.774485273554545
42,legacy,2,1,1.2972161333986674
42,legacy,2,2,0.0
42,legacy,2,3,0.31933064548232043
42,legacy,2,4,0.5345534524273086
42,legacy,3,1,1e-06
42,legacy,3,2,0.31933064548232043
42,legacy,3,3,0.0
42,legacy,3,4,0.5774634314863426
42,legacy,4,1,1.774485273554545
42,legacy,4,2,0.5345534524273086
42,legacy,4,3,0.5774634314863426
42,legacy,4,4,0.0
43,legacy,1,1,0.0
43,legacy,1,2,3.258373880992146
43,legacy,1,3,1.1031930669927779
43,legacy,1,4,3.9294850433007076
43,legacy,2,1,3.258373880992146
43,legacy,2,2,0.0
43,legacy,2,3,0.35169943813194743
43,legacy,2,4,0.9828840705138688
43,legacy,3,1,1.1031930669927779
43,legacy,3,2,0.35169943813194743
43,legacy,3,3,0.0
43,legacy,3,4,0.48521724518337955
43,legacy,4,1,3.9294850433007076
43,legacy,4,2,0.9828840705138688
43,legacy,4,3,0.48521724518337955
43,legacy,4,4,0.0
44,legacy,1,1,0.0
44,legacy,1,2,1e-06
44,legacy,1,3,0.6379109895187319
44,legacy,1,4,1e-06
44,legacy,2,1,1e-06
44,legacy,2,2,0.0
44,legacy,2,3,0.30883071929510164
44,legacy,2,4,1e-06
44,legacy,3,1,0.6379109895187319
44,legacy,3,2,0.30883071929510164
44,legacy,3,3,0.0
44,legacy,3,4,1e-06
44,legacy,4,1,1e-06
44,legacy,4,2,1e-06
44,legacy,4,3,1e-06
44,legacy,4,4,0.0
45,legacy,1,1,0.0
45,legacy,1,2,3.7015685581558526
45,legacy,1,3,3.8970660163529294
45,legacy,1,4,2.3920814908415484
45,legacy,2,1,3.7015685581558526
45,legacy,2,2,0.0
45,legacy,2,3,1.7765125095337946
45,legacy,2,4,0.6907603756933803
45,legacy,3,1,3.8970660163529294
45,legacy,3,2,1.7765125095337946
45,legacy,3,3,0.0
45,legacy,3,4,1.10021098047639
45,legacy,4,1,2.3920814908415484
45,legacy,4,2,0.6907603756933803
45,legacy,4,3,1.10021098047639
45,legacy,4,4,0.0
46,legacy,1,1,0.0
46,legacy,1,2,2.8431411801845963
46,legacy,1,3,2.768087049702271
46,legacy,1,4,1e-06
46,legacy,2,1,2.8431411801845963
46,legacy,2,2,0.0
46,legacy,2,3,1e-06
46,legacy,2,4,4.226313534165704
46,legacy,3,1,2.768087049702271
46,legacy,3,2,1e-06
46,legacy,3,3,0.0
46,legacy,3,4,2.8442303393925434
46,legacy,4,1,1e-06
46,legacy,4,2,4.226313534165704
46,legacy,4,3,2.8442303393925434
46,legacy,4,4,0.0
47,legacy,1,1,0.0
47,legacy,1,2,9.544039503890938
47,legacy,1,3,1e-06
47,legacy,1,4,4.933718255691922
47,legacy,2,1,9.544039503890938
47,legacy,2,2,0.0
47,legacy,2,3,5.350295065043268
47,legacy,2,4,4.141445553185031
47,legacy,3,1,1e-06
47,legacy,3,2,5.350295065043268
47,legacy,3,3,0.0
47,legacy,3,4,4.597051224181342
47,legacy,4,1,4.933718255691922
47,legacy,4,2,4.141445553185031
47,legacy,4,3,4.597051224181342
47,legacy,4,4,0.0
48,legacy,1,1,0.0
48,legacy,1,2,7.774282368151192
48,legacy,1,3,4.893572935277123
48,legacy,1,4,9.327047585280475
48,legacy,2,1,7.774282368151192
48,legacy,2,2,0.0
48,legacy,2,3,3.054208455450915
48,legacy,2,4,4.086973327053115
48,legacy,3,1,4.893572935277123
48,legacy,3,2,3.054208455450915
48,legacy,3,3,0.0
48,legacy,3,4,11.53560331797117
48,legacy,4,1,9.327047585280475
48,legacy,4,2,4.086973327053115
48,legacy,4,3,11.53560331797117
48,legacy,4,4,0.0
49,legacy,1,1,0.0
49,legacy,1,2,8.310688235455208
49,legacy,1,3,3.05980794847447
49,legacy,1,4,1e-06
49,legacy,2,1,8.310688235455208
49,legacy,2,2,0.0
49,legacy,2,3,1e-06
49,legacy,2,4,3.585164464115002
49,legacy,3,1,3.05980794847447
49,legacy,3,2,1e-06
49,legacy,3,3,0.0
49,legacy,3,4,1e-06
49,legacy,4,1,1e-06
49,legacy,4,2,3.585164464115002
49,legacy,4,3,1e-06
49,legacy,4,4,0.0
20,v2,1,1,0.0
20,v2,1,2,0.20116515786865796
20,v2,1,3,0.44183381183770887
20,v2,1,4,0.5992512327594447
20,v2,2,1,0.20116515786865796
20,v2,2,2,0.0
20,v2,2,3,0.3735594427052587
20,v2,2,4,0.7458312093774199
20,v2,3,1,0.44183381183770887
20,v2,3,2,0.3735594427052587
20,v2,3,3,0.0
20,v2,3,4,0.3089822458606646
20,v2,4,1,0.5992512327594447
20,v2,4,2,0.7458312093774199
20,v2,4,3,0.3089822458606646
20,v2,4,4,0.0
21,v2,1,1,0.0
21,v2,1,2,0.4172054877763635
21,v2,1,3,0.5044049972167315
21,v2,1,4,0.665640536327922
21,v2,2,1,0.4172054877763635
21,v2,2,2,0.0
