oos_period,variant,row_model,col_model,mu
47,legacy,4,4,0.0
48,legacy,1,1,0.0
48,legacy,1,2,-3.4086457659610003
48,legacy,1,3,4.755955712599439
48,legacy,1,4,-9.141650594854493
48,legacy,2,1,3.4086457659610003
48,legacy,2,2,0.0
48,legacy,2,3,45.37073587098632
48,legacy,2,4,-0.8736039982091742
48,legacy,3,1,-4.755955712599439
48,legacy,3,2,-45.37073587098632
48,legacy,3,3,0.0
48,legacy,3,4,-13.018803318084956
48,legacy,4,1,9.141650594854493
48,legacy,4,2,0.8736039982091742
48,legacy,4,3,13.018803318084956
48,legacy,4,4,0.0
49,legacy,1,1,0.0
49,legacy,1,2,-4.194350006436152
49,legacy,1,3,-5.456528443607274
49,legacy,1,4,11.014358794291292
49,legacy,2,1,4.194350006436152
49,legacy,2,2,0.0
49,legacy,2,3,-7.810310613256364
49,legacy,2,4,3.5502068549168095
49,legacy,3,1,5.456528443607274
49,legacy,3,2,7.810310613256364
49,legacy,3,3,0.0
49,legacy,3,4,11.24659778430176
49,legacy,4,1,-11.014358794291292
49,legacy,4,2,-3.5502068549168095
49,legacy,4,3,-11.24659778430176
49,legacy,4,4,0.0
20,v2,1,1,0.0
20,v2,1,2,-0.47361828081528495
20,v2,1,3,-1.1570719492541575
20,v2,1,4,-2.142747211532096
20,v2,2,1,0.47361828081528495
20,v2,2,2,0.0
20,v2,2,3,-0.6347405331250823
20,v2,2,4,-1.4553595082656596
20,v2,3,1,1.1570719492541575
20,v2,3,2,0.6347405331250823
20,v2,3,3,0.0
20,v2,3,4,-0.8337283316064217
20,v2,4,1,2.142747211532096
20,v2,4,2,1.4553595082656596
20,v2,4,3,0.8337283316064217
20,v2,4,4,0.0
21,v2,1,1,0.0
21,v2,1,2,-0.8756948364742526
21,v2,1,3,-0.9763988695232899
21,v2,1,4,-1.77856016786612
21,v2,2,1,0.8756948364742526
21,v2,2,2,0.0
21,v2,2,3,-0.19652422001760253
21,v2,2,4,-0.9838793942289424
21,v2,3,1,0.9763988695232899
21,v2,3,2,0.19652422001760253
21,v2,3,3,0.0
21,v2,3,4,-0.8379362298111508
21,v2,4,1,1.77856016786612
