oos_period,variant,row_model,col_model,mu
225,legacy,2,6,1.4382972255182158
225,legacy,2,7,5.74962501917508
225,legacy,2,8,6.174859899713917
225,legacy,3,1,1.901588088697017
225,legacy,3,2,-3.747597208782058
225,legacy,3,3,0.0
225,legacy,3,4,1.5188738167288898
225,legacy,3,5,1.7283330158172143
225,legacy,3,6,-2.511922977004713
225,legacy,3,7,1.0959684722919438
225,legacy,3,8,2.177481499828762
225,legacy,4,1,-1.8269451620228996
225,legacy,4,2,-5.303401647276566
225,legacy,4,3,-1.5188738167288898
225,legacy,4,4,0.0
225,legacy,4,5,-0.11822526177270641
225,legacy,4,6,-4.048269532136369
225,legacy,4,7,-0.2733096123814378
225,legacy,4,8,-0.38159470385586336
225,legacy,5,1,-1.4663998202239714
225,legacy,5,2,-6.047356836763035
225,legacy,5,3,-1.7283330158172143
225,legacy,5,4,0.11822526177270641
225,legacy,5,5,0.0
225,legacy,5,6,-4.469502301264932
225,legacy,5,7,-0.10788088993491576
225,legacy,5,8,-0.4241231140696426
225,legacy,6,1,4.304844754420349
225,legacy,6,2,-1.4382972255182158
225,legacy,6,3,2.511922977004713
225,legacy,6,4,4.048269532136369
225,legacy,6,5,4.469502301264932
225,legacy,6,6,0.0
225,legacy,6,7,3.8755672895567383
225,legacy,6,8,4.612278870687208
225,legacy,7,1,-1.5539768207846136
225,legacy,7,2,-5.74962501917508
225,legacy,7,3,-1.0959684722919438
225,legacy,7,4,0.2733096123814378
225,legacy,7,5,0.10788088993491576
225,legacy,7,6,-3.8755672895567383
225,legacy,7,7,0.0
225,legacy,7,8,-0.5912288990125095
225,legacy,8,1,-1.0937188694690538
225,legacy,8,2,-6.174859899713917
225,legacy,8,3,-2.177481499828762
225,legacy,8,4,0.38159470385586336
225,legacy,8,5,0.4241231140696426
225,legacy,8,6,-4.612278870687208
225,legacy,8,7,0.5912288990125095
225,legacy,8,8,0.0
226,legacy,1,1,0.0
226,legacy,1,2,-4.953947237679115
226,legacy,1,3,-2.9648096250687788
226,legacy,1,4,2.417914886639375
226,legacy,1,5,2.0019525446486193
226,legacy,1,6,-4.32892563399064
